Año,Trimestre,Provincia,ADSL,Cablemodem,Fibra óptica,Wireless,Otros,Total_x,HASTA 512 kbps,+ 512 Kbps - 1 Mbps,+ 1 Mbps - 6 Mbps,+ 6 Mbps - 10 Mbps,+ 10 Mbps - 20 Mbps,+ 20 Mbps - 30 Mbps,+ 30 Mbps,OTROS,Total_y,Accesos por cada 100 hogares,Accesos por cada 100 hab,Mbps (Media de bajada),Región
2014,2,Jujuy,30128.0,4161.0,23.0,40.0,9.0,34361.0,1873.0,11233.0,18851.0,2305.0,82.0,0.0,0.0,0.0,34344.0,18.706060999413573,4.784095434078587,2.7690316794782204,Noroeste
2014,2,La Pampa,15957.0,32600.0,513.0,5869.0,689.0,55628.0,7032.0,6761.0,34089.0,18.0,5.0,4.0,10.0,0.0,47919.0,49.70759616034458,16.379048903362197,2.684576055426866,Centro
2014,2,La Rioja,15864.0,0.0,14.0,0.0,34.0,15912.0,10.0,4785.0,9719.0,1337.0,61.0,0.0,0.0,0.0,15912.0,16.502564816345664,4.3933834187878436,3.095153343388638,Noroeste
2014,2,Mendoza,148979.0,13030.0,2480.0,36.0,2282.0,166807.0,35.0,6.0,166710.0,31.0,10.0,5.0,10.0,0.0,166807.0,32.098238150241194,8.95860097015214,3.503033182060705,Cuyo
2014,2,Misiones,56933.0,17594.0,4.0,150.0,8.0,74689.0,540.0,13644.0,53245.0,5924.0,1334.0,2.0,0.0,0.0,74689.0,23.367747601299843,6.365807425994047,3.540023885712756,Noreste
2014,2,Neuquén,47767.0,29776.0,997.0,10765.0,2983.0,92288.0,1531.0,3206.0,79087.0,92.0,2289.0,2.0,30.0,0.0,86237.0,50.84274905844866,15.137568029498313,3.6647043380451545,Patagonia
2014,2,Río Negro,64920.0,24944.0,876.0,3657.0,1560.0,95957.0,3468.0,5507.0,84978.0,78.0,1569.0,2.0,8.0,0.0,95610.0,45.33491032014632,13.946569423268942,3.4286257504445143,Patagonia
2014,2,Salta,73841.0,17504.0,45.0,7.0,577.0,91974.0,53.0,18818.0,64440.0,8293.0,388.0,0.0,0.0,0.0,91992.0,28.914594000862877,7.004015501526469,3.391137751108792,Noroeste
2014,2,San Juan,48161.0,451.0,722.0,1139.0,1173.0,51646.0,10.0,507.0,51129.0,0.0,0.0,0.0,0.0,0.0,51646.0,27.782697817958912,7.077771062624967,3.4724840645935795,Cuyo
2014,2,San Luis,11306.0,925.0,354.0,22.0,448.0,13055.0,7.0,0.0,13045.0,0.0,0.0,1.0,2.0,0.0,13055.0,9.717910199871824,2.781512264860477,3.5041044810417468,Cuyo
2014,2,Santa Cruz,18956.0,448.0,381.0,4118.0,3266.0,27169.0,153.0,1637.0,25374.0,2.0,0.0,0.0,0.0,0.0,27166.0,29.377007153054272,8.744673181156902,3.3181516601634393,Patagonia
2014,2,Santa Fe,324101.0,178495.0,3085.0,6041.0,636.0,512358.0,8515.0,115197.0,353559.0,23939.0,10058.0,34.0,792.0,0.0,512094.0,48.39035138670138,15.216957428230305,3.3116910410979234,Centro
2014,2,Santiago Del Estero,32820.0,4231.0,19.0,907.0,34.0,38011.0,1231.0,9914.0,23842.0,2867.0,142.0,0.0,0.0,0.0,37996.0,16.695567347354444,4.143683147939005,3.0697509211495944,Noroeste
2014,2,Tierra Del Fuego,21618.0,3008.0,648.0,1.0,2934.0,28209.0,12.0,334.0,31198.0,2.0,0.0,0.0,0.0,0.0,31546.0,64.35604517159936,19.08631433655622,3.470095986812908,Patagonia
2014,2,Tucumán,131740.0,97.0,121.0,13.0,98.0,132069.0,6.0,32714.0,84675.0,14101.0,559.0,4.0,0.0,0.0,132059.0,33.94452688568229,8.409488588173268,3.34994476711167,Noroeste
2014,1,Buenos Aires,1567685.0,1000879.0,120960.0,16528.0,33824.0,2739876.0,8469.0,171244.47999999998,2279875.0,121787.12,38923.32,206.16,4037.0,0.0,2624542.08,54.570072879439756,16.692346018019045,3.7331327999829305,Centro
2014,1,Capital Federal,445569.0,820161.0,17767.0,1866.0,14555.0,1299918.0,852.0,88825.52,1096050.0,70292.88,38797.68,54.84,6208.0,0.0,1301080.92,112.25412278926913,42.655071630586406,4.024081510870217,Centro
2014,1,Catamarca,24126.0,46.0,17.0,0.0,43.0,24232.0,19.0,9147.0,13330.0,1672.0,64.0,0.0,0.0,0.0,24232.0,24.251751254585553,6.184614520776599,2.8027344007923407,Noroeste
2014,1,Chaco,52971.0,9497.0,30.0,0.0,58.0,62556.0,438.0,15849.0,40869.0,4644.0,741.0,5.0,0.0,0.0,62546.0,20.71853886384081,5.553671463702625,3.2558373037444444,Noreste
2014,1,Chubut,51066.0,539.0,866.0,10776.0,6974.0,70221.0,7452.0,10.0,61329.0,0.0,0.0,0.0,0.0,0.0,68791.0,41.23521807972435,12.703590133239262,3.1759166751464583,Patagonia
2014,1,Córdoba,336841.0,225769.0,347.0,3585.0,368.0,566910.0,2076.0,107705.0,423114.0,24112.0,9818.0,40.0,588.0,0.0,567453.0,52.517847544006315,16.125183143749393,3.3874045815248133,Centro
2014,1,Corrientes,52565.0,8279.0,31.0,1306.0,55.0,62236.0,20.0,16357.0,40742.0,4486.0,630.0,0.0,0.0,0.0,62235.0,22.316716713838876,5.891708288681968,3.2186250823491607,Noreste
2014,1,Entre Ríos,107883.0,21379.0,49.0,4887.0,133.0,134331.0,2177.0,35206.0,85248.0,10828.0,746.0,0.0,43.0,0.0,134248.0,34.367121821250166,10.302247104839328,3.1672900899827185,Centro
2014,1,Formosa,20774.0,4548.0,0.0,0.0,100.0,25422.0,2062.0,8475.0,13685.0,1133.0,67.0,0.0,0.0,0.0,25422.0,17.418451079368708,4.444467754793774,2.5737292109196757,Noreste
